
 num     #instances         #bytes  class name
 348:             2             64  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping
 349:             4             64  com.sun.proxy.$Proxy1
 350:             2             64  java.io.FilePermission
 351:             2             64  java.io.PrintStream
 352:             2             64  java.lang.ClassValue$Entry
 353:             2             64  java.lang.VirtualMachineError
 354:             2             64  java.lang.ref.ReferenceQueue$Null
 355:             2             64  java.security.MessageDigest$Delegate
 356:             1             64  java.security.SecureRandom
 357:             2             64  java.util.PropertyPermission
 358:             1             64  javax.management.remote.rmi.RMIConnectionImpl
 359:             1             64  javax.management.remote.rmi.RMIConnectorServer
 360:             2             64  sun.reflect.annotation.AnnotationType
 361:             2             64  sun.rmi.transport.tcp.TCPTransport
 362:             2             64  sun.security.provider.SecureRandom
 363:             1             56  [Ljava.lang.Runnable;
 364:             3             56  [Lsun.reflect.generics.tree.ClassTypeSignature;
 365:             1             56  [Lsun.util.logging.PlatformLogger$Level;
 366:             1             56  [[I
 367:             1             56  java.lang.invoke.LambdaFormEditor$Transform
 368:             1             56  java.util.logging.LogManager
 369:             1             56  javax.management.remote.rmi.RMIJRMPServerImpl
 370:             1             56  sun.rmi.runtime.Log$InternalStreamHandler
 371:             1             56  sun.rmi.transport.tcp.TCPChannel
 372:             1             56  sun.rmi.transport.tcp.TCPConnection
 373:             1             48  [Lcom.sun.management.VMOption$Origin;
 374:             3             48  [Ljava.lang.StackTraceElement;
 375:             3             48  [Ljava.lang.annotation.Annotation;
 376:             1             48  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic;
 377:             2             48  [Ljava.lang.reflect.TypeVariable;
 378:             1             48  [Ljava.util.concurrent.TimeUnit;
 379:             1             48  [Lsun.management.counter.Units;
 380:             1             48  [[Ljava.lang.Object;
 381:             3             48  com.gjh.learn.jvm.thread.HoldIOMain$LazyTask
 382:             2             48  com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry
 383:             1             48  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$Mappings
 384:             1             48  com.sun.jmx.mbeanserver.MBeanIntrospector$MBeanInfoMap
 385:             1             48  com.sun.jmx.mbeanserver.MBeanIntrospector$PerInterfaceMap
 386:             2             48  com.sun.jmx.mbeanserver.WeakIdentityHashMap
 387:             1             48  java.io.BufferedReader
 388:             2             48  java.io.File$PathStatus
 389:             2             48  java.io.FilePermissionCollection
 390:             3             48  java.io.ObjectInputStream$ValidationList
 391:             1             48  java.lang.invoke.BoundMethodHandle$Species_L4
 392:             2             48  java.lang.invoke.MethodHandles$Lookup
 393:             2             48  java.lang.reflect.ReflectPermission
 394:             2             48  java.net.InetAddress$Cache
 395:             2             48  java.net.InetAddress$Cache$Type
 396:             1             48  java.nio.HeapCharBuffer
 397:             2             48  java.nio.charset.CoderResult
 398:             3             48  java.nio.charset.CodingErrorAction
 399:             2             48  java.rmi.dgc.VMID
 400:             2             48  java.security.AllPermissionCollection
 401:             3             48  java.util.TreeMap$KeySet
 402:             1             48  java.util.concurrent.locks.ReentrantReadWriteLock$FairSync
 403:             2             48  java.util.logging.Logger$LoggerBundle
 404:             1             48  javax.management.remote.rmi.RMIConnectionImpl$RMIServerCommunicatorAdmin
 405:             2             48  sun.management.ManagementFactoryHelper$1
 406:             2             48  sun.misc.NativeSignalHandler
 407:             2             48  sun.misc.Signal
 408:             3             48  sun.net.www.protocol.jar.Handler
 409:             1             48  sun.nio.cs.StreamDecoder
 410:             1             48  sun.nio.cs.US_ASCII$Decoder
 411:             2             48  sun.reflect.generics.scope.ClassScope
 412:             3             48  sun.rmi.server.MarshalOutputStream$1
 413:             2             48  sun.security.jca.ProviderList
 414:             2             48  sun.security.jca.ProviderList$3
 415:             1             48  sun.util.locale.provider.LocaleResources$ResourceReference
 416:             2             40  [Lcom.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry;
 417:             1             40  [Ljava.lang.Thread$State;
 418:             1             40  [Ljava.lang.management.MemoryPoolMXBean;
 419:             1             40  [Lsun.nio.fs.WindowsPathType;
 420:             1             40  [Lsun.util.locale.provider.LocaleProviderAdapter$Type;
 421:             1             40  [[Ljava.lang.invoke.LambdaForm$Name;
 422:             1             40  com.sun.jmx.interceptor.DefaultMBeanServerInterceptor
 423:             1             40  com.sun.jmx.mbeanserver.JmxMBeanServer
 424:             1             40  com.sun.jmx.mbeanserver.MBeanServerDelegateImpl
 425:             1             40  java.util.ResourceBundle$1
 426:             1             40  sun.management.DiagnosticCommandImpl
 427:             1             40  sun.misc.Cleaner
 428:             1             40  sun.nio.cs.StandardCharsets$Aliases
 429:             1             40  sun.nio.cs.StandardCharsets$Cache
 430:             1             40  sun.nio.cs.StandardCharsets$Classes
 431:             1             40  sun.nio.cs.ext.ExtendedCharsets
 432:             1             40  sun.rmi.server.UnicastServerRef
 433:             1             40  sun.util.logging.resources.logging
 434:             1             40  sun.util.logging.resources.logging_zh_CN
 435:             1             32  [Ljava.lang.OutOfMemoryError;
 436:             1             32  [Ljava.lang.ThreadGroup;
 437:             1             32  [Ljava.lang.management.MemoryManagerMXBean;
 438:             1             32  [Ljava.net.Proxy$Type;
 439:             1             32  [Lsun.misc.ObjectInputFilter$Status;
 440:             1             32  [Lsun.nio.fs.NativeBuffer;
 441:             1             32  com.sun.jmx.mbeanserver.Repository
 442:             1             32  java.io.SerializablePermission
 443:             1             32  java.io.WinNTFileSystem
 444:             1             32  java.lang.ArithmeticException
 445:             2             32  java.lang.Boolean
 446:             1             32  java.lang.Exception
 447:             1             32  java.lang.NullPointerException
 448:             2             32  java.lang.Shutdown$Lock
 449:             1             32  java.lang.invoke.DirectMethodHandle$Special
 450:             1             32  java.lang.reflect.WeakCache
 451:             2             32  java.nio.ByteOrder
 452:             2             32  java.util.HashMap$EntrySet
 453:             2             32  java.util.LinkedHashMap$LinkedEntrySet
 454:             2             32  java.util.LinkedHashMap$LinkedKeySet
 455:             2             32  java.util.TreeSet
 456:             1             32  java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue
 457:             1             32  java.util.concurrent.SynchronousQueue
 458:             1             32  java.util.concurrent.SynchronousQueue$TransferStack$SNode
 459:             1             32  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 460:             1             32  java.util.logging.LogManager$SystemLoggerContext
 461:             1             32  javax.management.MBeanConstructorInfo
 462:             1             32  javax.management.remote.JMXServiceURL
 463:             1             32  sun.instrument.InstrumentationImpl
 464:             1             32  sun.management.jmxremote.LocalRMIServerSocketFactory$1
 465:             1             32  sun.nio.cs.StandardCharsets
 466:             1             32  sun.nio.fs.NativeBuffer
 467:             1             32  sun.nio.fs.WindowsFileSystem
 468:             2             32  sun.rmi.server.UnicastRef2
 469:             2             32  sun.rmi.server.WeakClassHashMap$ValueCell
 470:             1             32  sun.rmi.transport.DGCImpl$LeaseInfo
 471:             1             32  sun.rmi.transport.proxy.RMIMasterSocketFactory
 472:             1             32  sun.rmi.transport.tcp.TCPTransport$AcceptLoop
 473:             1             32  sun.util.locale.provider.LocaleResources
 474:             1             32  sun.util.locale.provider.LocaleServiceProviderPool
 475:             1             24  [Ljava.io.File$PathStatus;
 476:             1             24  [Ljava.lang.ClassValue$Entry;
 477:             1             24  [Ljava.net.InetAddress$Cache$Type;
 478:             1             24  [Ljava.net.InetSocketAddress;
 479:             1             24  [Lsun.launcher.LauncherHelper;
 480:             1             24  com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport
 481:             1             24  com.sun.jmx.mbeanserver.MXBeanLookup
 482:             1             24  java.io.InputStreamReader
 483:             1             24  java.lang.ClassValue$Version
 484:             1             24  java.lang.Double
 485:             1             24  java.lang.invoke.MethodHandleImpl$4
 486:             1             24  java.lang.invoke.MethodType$ConcurrentWeakInternSet
 487:             1             24  java.net.Inet6AddressImpl
 488:             1             24  java.net.Proxy
 489:             1             24  java.net.SocketPermissionCollection
 490:             1             24  java.util.Collections$EmptyMap
 491:             1             24  java.util.Collections$SetFromMap
 492:             1             24  java.util.Date
 493:             1             24  java.util.Locale$Cache
 494:             1             24  java.util.ResourceBundle$Control$CandidateListCache
 495:             1             24  java.util.concurrent.Executors$RunnableAdapter
 496:             1             24  java.util.concurrent.TimeUnit$1
 497:             1             24  java.util.concurrent.TimeUnit$2
 498:             1             24  java.util.concurrent.TimeUnit$3
 499:             1             24  java.util.concurrent.TimeUnit$4
 500:             1             24  java.util.concurrent.TimeUnit$5
 501:             1             24  java.util.concurrent.TimeUnit$6
 502:             1             24  java.util.concurrent.TimeUnit$7
 503:             1             24  java.util.concurrent.locks.ReentrantReadWriteLock
 504:             1             24  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter
 505:             1             24  java.util.jar.Manifest
 506:             1             24  java.util.logging.LogManager$LoggerContext
 507:             1             24  java.util.logging.LoggingPermission
 508:             1             24  javax.management.NotificationBroadcasterSupport
 509:             1             24  javax.management.remote.rmi.RMIJRMPServerImpl$ExportedWrapper
 510:             1             24  sun.instrument.TransformerManager
 511:             1             24  sun.launcher.LauncherHelper
 512:             1             24  sun.management.CompilationImpl
 513:             1             24  sun.management.MemoryImpl
 514:             1             24  sun.management.OperatingSystemImpl
 515:             1             24  sun.management.RuntimeImpl
 516:             1             24  sun.management.ThreadImpl
 517:             1             24  sun.management.VMManagementImpl
 518:             1             24  sun.misc.JarIndex
